word,count,mean_attribution,std_attribution,median_attribution,total_attribution
where,42,-3.7458315,10.606171,-8.48531,-157.32492
improvement,5,-3.8014317,1.4189422,-4.226801,-19.007158
power,46,-3.8360207,2.7536502,-4.508825,-176.45695
opportunities,12,-3.8608882,1.5271623,-4.0002923,-46.330658
control,33,-3.868784,1.0619696,-3.9223428,-127.66987
warn,6,-3.8968391,0.0,-3.8968391,-23.381035
can,55,-3.9080112,8.222308,-6.0239043,-214.94061
resentment,5,-3.9449668,5.1271806,-0.29405507,-19.724834
these,63,-3.952766,5.442775,-4.800202,-249.02426
security,10,-3.9753044,1.4839661,-4.7072535,-39.753044
through,36,-4.025844,8.704386,-7.1900787,-144.93039
weight,8,-4.027972,4.5938525,-6.0089808,-32.223778
financial,14,-4.1067414,0.817101,-4.144128,-57.494377
building,5,-4.243605,1.7170048,-5.1699114,-21.218025
safety,5,-4.259703,1.6402203,-3.3109677,-21.298515
husband,11,-4.2893176,10.31818,-9.299117,-47.182495
evident,5,-4.2907953,4.5582604,-7.782804,-21.453978
career,6,-4.326503,0.61419785,-4.4001827,-25.959017
development,9,-4.3281345,2.0609047,-5.1628737,-38.953213
issues,5,-4.3321977,1.2098318,-4.9493265,-21.660988
acknowledged,7,-4.5703473,0.9968793,-4.168427,-31.99243
air,9,-4.626887,8.38851,-6.4888453,-41.641983
process,9,-4.662142,1.5927528,-4.2255597,-41.95928
daily,6,-4.81109,1.1389803,-4.872999,-28.866539
are,88,-4.9085712,4.9090204,-4.762847,-431.95428
abuse,5,-5.031849,8.658378,-6.5769863,-25.159245
netherfield,6,-5.082658,3.86235,-6.6064954,-30.495947
erosion,7,-5.2493925,1.5757853,-5.409383,-36.745747
cage,6,-5.3203216,0.46850532,-5.1934376,-31.921928
prudence,5,-5.323337,0.41706747,-5.3257656,-26.616686
designed,8,-5.3690786,1.0406282,-5.435294,-42.95263
lost,10,-5.4007363,8.668296,-7.060352,-54.007362
education,7,-5.627237,8.268467,-8.324663,-39.39066
someone,12,-5.881798,0.9693196,-6.0321035,-70.58157
eleanor,6,-5.9180064,1.1952912,-5.0993357,-35.508038
