word,count,mean_attribution,std_attribution,median_attribution,total_attribution
only,66,-2.3243005,12.730012,1.909146,-153.40384
having,34,-2.3275034,10.310421,1.0222411,-79.13512
find,12,-2.3326676,5.382283,-1.2056746,-27.99201
regard,12,-2.3371553,4.800112,-3.4636106,-28.045864
clear,7,-2.3491118,3.282081,-4.5805163,-16.443783
regret,5,-2.3573613,3.9283853,-1.3824694,-11.786807
towards,31,-2.3675368,3.7409945,-3.9224858,-73.39364
therefore,17,-2.367623,1.3263812,-2.017718,-40.24959
care,12,-2.371968,6.335404,-1.9331336,-28.463615
narrow,5,-2.3726664,7.92984,-6.2075615,-11.863332
direct,6,-2.373789,7.683714,-4.0340424,-14.242735
sensible,9,-2.379401,1.9060472,-1.7897013,-21.414608
might,93,-2.3814847,8.707167,0.17268777,-221.47807
emotional,13,-2.3837142,0.47567633,-2.210498,-30.988285
pride,8,-2.3953662,2.1299899,-2.258227,-19.16293
seemed,35,-2.398653,3.4139175,-2.4220622,-83.95286
marriage,22,-2.4041429,4.2433186,-1.2697303,-52.891144
induced,5,-2.4159274,0.39575586,-2.1322024,-12.079637
still,30,-2.4189715,4.2345467,-3.7264054,-72.569145
proved,7,-2.4201846,1.3785753,-2.8700333,-16.941292
mutual,5,-2.4222245,5.43042,1.5274318,-12.111122
perfect,5,-2.4255326,6.734834,0.57581544,-12.127663
must,121,-2.4659846,4.064944,-2.827486,-298.38412
found,36,-2.4686544,13.215673,4.5203214,-88.87156
deep,14,-2.47702,2.2294924,-3.2812014,-34.67828
observation,11,-2.482771,3.4388127,-5.494806,-27.31048
full,12,-2.492214,6.0572696,-0.4702651,-29.906569
brother,14,-2.496299,17.629389,7.4418244,-34.948185
street,15,-2.4993703,10.303425,2.7264032,-37.490555
hoped,5,-2.5048232,0.6633338,-2.836622,-12.5241165
upon,92,-2.510421,4.1464815,-2.6406562,-230.95872
less,29,-2.5142055,2.4371474,-2.9533663,-72.91196
because,18,-2.515063,13.546898,1.2484922,-45.271133
engaged,7,-2.5322442,3.1875198,-1.1743424,-17.72571
feelings,19,-2.5483277,5.102224,-2.7301497,-48.418224
equally,13,-2.5568335,8.250819,-6.670624,-33.238834
likewise,5,-2.5634825,0.42343298,-2.8986814,-12.817412
question,10,-2.5662293,1.8427397,-2.3071368,-25.662294
its,70,-2.568505,3.2757733,-3.977313,-179.79535
into,88,-2.5758524,13.354271,2.7361033,-226.675
conviction,5,-2.5764794,0.65607154,-2.3623788,-12.882397
something,15,-2.579888,5.4142494,-3.6443334,-38.698322
actively,11,-2.604534,3.0408885,-4.124614,-28.649872
everybody,7,-2.6164627,1.7118447,-3.2921054,-18.315239
elder,5,-2.6305413,3.6024945,-5.436763,-13.152706
mean,6,-2.6342962,0.7157177,-2.5237503,-15.805778
supposed,5,-2.634812,0.7054449,-2.9982991,-13.174061
community,5,-2.6395268,0.0,-2.6395268,-13.197634
experience,11,-2.6532042,3.620659,-4.103382,-29.185246
absence,8,-2.658924,1.0449433,-2.502771,-21.271393
knowledge,10,-2.6984115,5.9610825,-1.4100751,-26.984114
glances,5,-2.7064738,2.223517,-2.837396,-13.53237
very,150,-2.7303271,6.1432223,-1.753674,-409.54907
love,21,-2.7359633,12.4594345,2.567056,-57.45523
constantly,5,-2.7375708,5.3486996,1.3551294,-13.687854
assured,8,-2.7712626,1.8370734,-3.4490938,-22.170101
real,9,-2.772931,3.1035063,-3.3114243,-24.956379
confidence,13,-2.7780592,2.8741968,-3.1901102,-36.11477
feeling,14,-2.7786238,3.960116,-2.880181,-38.900734
building,7,-2.7980628,3.446344,-2.6919036,-19.58644
else,16,-2.8102443,5.776115,-2.897747,-44.96391
power,22,-2.8142042,1.2152177,-2.8889232,-61.91249
accepted,8,-2.8204925,4.1516595,-1.9203473,-22.56394
pain,9,-2.8423867,10.20055,2.4957612,-25.58148
fear,13,-2.8463,8.010535,-4.0823174,-37.0019
met,8,-2.84877,12.400462,3.9205356,-22.79016
turn,7,-2.8591187,5.4937253,-0.9845536,-20.01383
focus,5,-2.8593922,0.22231865,-2.7926505,-14.296961
convenience,6,-2.861758,0.60669667,-2.8346682,-17.170547
same,21,-2.8720646,8.060528,1.0434855,-60.313354
particularly,30,-2.8795485,1.4001107,-2.873254,-86.38646
acknowledged,8,-2.8832889,1.7747453,-3.509544,-23.06631
opinion,10,-2.8838668,4.0516877,-3.599163,-28.838667
opportunity,21,-2.8925967,1.4219325,-2.3096566,-60.744534
aware,5,-2.896737,0.8473795,-3.0238864,-14.4836855
extremely,8,-2.910439,1.7962507,-3.6689315,-23.283512
certain,19,-2.922598,2.1162145,-3.958924,-55.529358
surely,5,-2.9249098,4.0929527,-2.3440964,-14.624549
neglect,6,-2.927409,7.344072,-5.181986,-17.564453
hard,8,-2.9353204,9.0906725,-1.2609115,-23.482563
offer,7,-2.9399455,7.9976563,1.8909762,-20.579618
help,5,-2.9480762,17.786898,-1.192021,-14.740381
begun,6,-2.95193,2.0317373,-3.2876248,-17.71158
people,31,-2.9575016,7.7353153,-1.8005251,-91.68255
forth,5,-2.9641128,1.5713183,-2.7168505,-14.820564
times,10,-2.976045,12.423852,2.9462965,-29.760448
strong,12,-2.986727,2.3334665,-3.6063623,-35.840725
all,212,-2.9879584,16.181946,1.4497331,-633.4472
importance,7,-2.990373,10.73135,-4.724059,-20.93261
addressed,6,-2.9984324,2.7512958,-4.898839,-17.990595
pursuit,12,-3.003607,0.5461271,-3.0379884,-36.043285
great,55,-3.0054777,3.2970014,-3.4986885,-165.30127
compromises,12,-3.022027,0.91832334,-3.166315,-36.264324
too,51,-3.0512824,5.6661134,-1.7054737,-155.6154
streets,13,-3.0622153,2.7204804,-1.927877,-39.8088
awareness,8,-3.0737765,0.23770428,-2.9337301,-24.590212
themselves,16,-3.081267,2.8206558,-4.2496376,-49.300274
family,74,-3.0895307,6.6839404,0.6006187,-228.62527
doing,6,-3.08974,10.24268,-0.31489268,-18.53844
related,6,-3.0934603,4.0626745,-1.3965325,-18.560762
end,11,-3.1046827,13.879231,3.172281,-34.15151
far,42,-3.1301632,4.211946,-2.2854226,-131.46686
raised,5,-3.1437783,9.166946,0.77697086,-15.718891
keep,7,-3.1719608,5.577083,-1.5893222,-22.203726
hope,24,-3.1916716,2.9595833,-4.215219,-76.60012
removed,10,-3.197207,15.675524,5.654299,-31.97207
equal,6,-3.2227144,2.0858927,-4.139142,-19.336287
dreadful,7,-3.2555559,2.9472442,-3.208329,-22.78889
intelligence,8,-3.261362,1.541658,-3.789849,-26.090897
fingers,8,-3.2790236,15.3961115,4.7388825,-26.23219
own,91,-3.2824872,4.8094473,-2.1080291,-298.70633
required,5,-3.309389,3.9782138,-2.5723276,-16.546946
work,24,-3.312217,12.293038,-0.7285543,-79.49321
rarely,8,-3.3483477,0.40298897,-3.4595642,-26.786781
standing,7,-3.3567593,0.96033406,-2.865245,-23.497314
us,40,-3.368426,10.0601225,2.1355948,-134.73705
voice,8,-3.4041905,2.9498665,-2.7038174,-27.233524
blind,8,-3.4132009,3.5380352,-4.9877024,-27.305607
moment,30,-3.4569726,1.6893044,-3.4618783,-103.709175
certainly,7,-3.4711645,2.0300336,-4.6330037,-24.298151
attention,14,-3.483297,3.682009,-4.110798,-48.76616
view,5,-3.4867234,3.742905,-5.4453278,-17.433617
well,53,-3.4931827,13.681626,2.0234177,-185.13869
express,6,-3.5178688,2.0674229,-4.098486,-21.107212
alone,17,-3.5326006,5.467048,-1.2572453,-60.05421
respect,12,-3.5335305,5.0024114,-0.2649063,-42.402367
shape,5,-3.535123,1.131721,-4.443616,-17.675615
fair,11,-3.5420282,5.306212,-0.4095891,-38.96231
provided,6,-3.5430682,7.277824,1.4258081,-21.25841
systems,8,-3.5557532,0.09460058,-3.5672224,-28.446026
better,33,-3.562531,7.8382745,-2.7965755,-117.56352
following,11,-3.5652807,16.01904,4.843098,-39.218086
behind,12,-3.5695982,6.030935,-0.21140282,-42.83518
grown,5,-3.5911927,2.551467,-5.3775673,-17.955963
interactions,6,-3.5915549,0.39774573,-3.4349325,-21.54933
due,7,-3.598612,9.008215,1.3175114,-25.190285
what,113,-3.600159,8.245995,-2.4048853,-406.81796
whether,23,-3.6214914,6.8109283,-1.3202326,-83.294304
comfort,18,-3.6242447,4.9009295,-4.124329,-65.236404
purpose,8,-3.6387806,1.6377631,-4.479063,-29.110245
allows,5,-3.6459835,0.23883632,-3.8409927,-18.229918
resolved,15,-3.6707473,2.918468,-3.4582956,-55.06121
merit,6,-3.6795504,3.4160285,-4.933123,-22.077303
gentlemen,15,-3.6796892,11.654818,2.6631136,-55.19534
exceedingly,8,-3.7215352,2.5527976,-5.015836,-29.772282
choose,5,-3.733652,1.988907,-2.1864538,-18.66826
good,56,-3.7562916,13.0847225,0.16788024,-210.35233
understand,9,-3.768197,5.371481,-3.4391818,-33.913773
many,46,-3.797555,7.0848255,-1.5623537,-174.68753
allowing,7,-3.8215692,8.40077,-10.03526,-26.750984
who,126,-3.8447673,16.831165,2.1734843,-484.44067
wholly,6,-3.862888,2.6530857,-4.020962,-23.177328
romantic,10,-3.8751602,3.5054927,-4.977561,-38.751602
such,120,-3.883352,12.952086,1.793477,-466.00226
housing,5,-3.8882744,0.32738507,-3.8099036,-19.441372
arose,5,-3.8925571,0.46568844,-4.2713594,-19.462786
case,12,-3.9513943,16.321106,2.610478,-47.416733
ground,8,-3.970459,13.777875,3.8383532,-31.763672
strongly,6,-3.9951553,1.8953347,-3.9319692,-23.970932
pursue,7,-3.9966507,0.44936013,-3.9767778,-27.976555
most,77,-4.0024447,8.602202,0.03720004,-308.18826
they,184,-4.0065026,15.792503,1.9207394,-737.1965
doubt,14,-4.012098,5.3046713,-7.5407043,-56.16937
once,39,-4.036555,5.420842,-1.5444314,-157.42564
sake,7,-4.0454435,4.1428986,-5.7939687,-28.318104
hardly,9,-4.0477057,5.8777313,-6.735645,-36.42935
evidence,5,-4.069993,5.1423497,-7.8656826,-20.349964
internal,7,-4.0901074,0.22229949,-4.2826242,-28.63075
discriminatory,5,-4.099491,0.20231166,-4.2646775,-20.497456
personal,29,-4.10619,0.6232366,-4.0228505,-119.07951
tide,6,-4.1144423,1.6119456,-4.488785,-24.686653
tears,8,-4.1186876,8.452681,0.93558913,-32.9495
ought,16,-4.1375737,3.0787742,-3.5449698,-66.20118
ferrars,7,-4.1386666,4.9062757,-1.1434762,-28.970665
colour,5,-4.1463623,6.8767815,-9.183713,-20.731812
expected,14,-4.1657457,7.9569006,0.15041581,-58.320442
peace,6,-4.1835284,2.3502889,-3.9430268,-25.10117
how,61,-4.194084,6.9228864,-4.654244,-255.83914
small,26,-4.1965346,5.333802,-7.242867,-109.1099
familiar,5,-4.231621,1.2662446,-4.6000104,-21.158104
