word,class,count,mean_attribution,std_attribution,median_attribution,total_attribution
will,human,8,0.00100441,0.0007198899,0.00087138603,0.00803528
say,human,5,8.338098e-05,0.0007118291,-0.00014301634,0.00041690492
are,human,5,0.0005977638,0.0007028828,0.0005877841,0.002988819
or,human,23,0.00060467585,0.0015560216,0.00046952273,0.013907544
coach,human,14,0.003156081,0.002695727,0.0025064962,0.044185136
which,human,48,-0.00023292437,0.0014408642,-0.0001792471,-0.01118037
taken,human,8,0.00084200525,0.00053503545,0.0008415559,0.006736042
place,human,12,0.00085880543,0.0006883767,0.00069213763,0.010305665
come,human,15,0.00055990706,0.00060869067,0.00037762563,0.0083986055
should,human,35,0.0004983664,0.0010548133,0.00072750665,0.017442824
until,human,5,0.0005153403,0.0016129265,7.242958e-05,0.0025767016
three,human,5,0.00095572334,0.0004849154,0.00087426987,0.0047786166
hours,human,4,0.0007362354,0.0011840543,0.00029147294,0.0029449416
after,human,15,0.0005859653,0.0009916709,0.0006329922,0.00878948
dark,human,3,0.0030032452,0.0005662257,0.0029837869,0.009009736
our,human,15,0.0019353922,0.0012684077,0.0020696295,0.029030882
time,human,17,0.00020070333,0.00096847705,-7.5443604e-05,0.0034119566
starting,human,3,-0.0012277304,0.00022174921,-0.0011638952,-0.0036831913
from,human,41,0.00045441804,0.0013374415,0.00041131224,0.01863114
clock,human,4,0.00091304095,0.00064639904,0.000855724,0.0036521638
arrived,human,3,0.0003825525,0.0004918654,4.5867622e-05,0.0011476575
quarter,human,5,0.00023535472,0.000521361,0.0004706033,0.0011767736
hour,human,5,-0.00041183882,0.0009876988,-0.00071286864,-0.002059194
attended,human,3,0.0008694218,0.00061300426,0.00088211644,0.0026082655
may,human,8,0.00030867383,0.0007433976,0.00019142938,0.0024693906
expression,human,3,-3.8246584e-05,0.0010325639,0.00030750566,-0.000114739756
one,human,15,0.0014801961,0.0010070929,0.0013799008,0.022202943
who,human,19,3.9351253e-05,0.001073328,0.00019863476,0.0007476738
never,human,18,-0.00028936454,0.0010661726,-9.1794835e-05,-0.0052085617
me,human,53,-0.00022359549,0.0013991111,-6.676688e-05,-0.011850561
he,human,100,0.00056078413,0.0009392099,0.0004674365,0.056078415
could,human,36,0.0002913252,0.00080687314,0.0004124145,0.010487707
help,human,5,0.0013627323,0.0005286994,0.0011850414,0.006813661
down,human,10,0.0013495596,0.0011580733,0.0013778,0.013495596
often,human,7,-0.00022441754,0.0011137329,-0.00011571504,-0.0015709228
heard,human,7,0.0014393992,0.001373032,0.001460708,0.0100757945
them,human,23,0.00017196934,0.0011383209,0.0004966781,0.003955295
than,human,23,0.00054443994,0.0012080985,0.0007039929,0.012522118
once,human,5,0.0006050876,0.001047516,0.0009994148,0.0030254382
seen,human,7,0.0011065797,0.0002702852,0.00121366,0.0077460576
high,human,3,-0.000475968,0.0007218314,-0.00025811564,-0.001427904
their,human,23,9.8784876e-05,0.0012410344,0.0002446723,0.0022720522
iron,human,3,-0.00096111465,0.0008578522,-0.0006377599,-0.002883344
ed,human,12,-0.0016553625,0.0013675207,-0.001978119,-0.01986435
over,human,8,0.0008996829,0.0007781023,0.0006338174,0.0071974634
no,human,31,0.0005870114,0.0011024205,0.00071237807,0.018197354
surprised,human,3,0.0012870856,0.0005323201,0.001653005,0.0038612569
when,human,31,0.0003156955,0.0012287699,0.000109389715,0.009786561
herbert,human,7,0.0007272797,0.0012152786,0.0015662665,0.005090958
came,human,11,-0.0004065423,0.0007371404,-0.00039398362,-0.004471965
up,human,22,0.00035528623,0.0008539062,0.0004783796,0.007816297
told,human,6,0.0005800592,0.0009456207,0.00049547723,0.003480355
there,human,24,0.000276454,0.0012444936,0.0001016518,0.0066348957
going,human,5,-0.00024941209,0.0012888404,7.3605042e-06,-0.0012470605
society,human,5,0.001897906,0.0027504887,0.0010833433,0.00948953
all,human,41,1.8624716e-05,0.0008820756,9.3802635e-05,0.0007636134
