class,direction,rank,word,mean_attribution,std_attribution,count
ai_mimicked,away,3,drawing,-0.002702845958992839,0.001482469029724598,5
ai_mimicked,away,4,rarely,-0.002507635857909918,0.0024581714533269405,5
ai_mimicked,away,5,ledger,-0.0023496218491345644,0.000538214691914618,3
ai_mimicked,away,6,silas,-0.002088959328830242,0.00012240643263794482,3
ai_mimicked,away,7,idi,-0.001965481322258711,0.0009668117272667587,9
ai_mimicked,away,8,governed,-0.001956369960680604,0.0008000469533726573,3
ai_mimicked,away,9,sacrificed,-0.0018236885080114007,0.0009636329486966133,6
ai_mimicked,away,10,never,-0.00180919433478266,0.0007419637986458838,3
ai_mimicked,away,11,order,-0.001802840968593955,0.004785269033163786,7
ai_mimicked,away,12,industry,-0.0017841485096141696,0.002117369556799531,4
ai_mimicked,away,13,daughters,-0.0017825269605964422,0.0003309104067739099,4
ai_mimicked,away,14,finch,-0.0017787571996450424,0.00030282666557468474,4
ai_mimicked,away,15,poor,-0.0017311570700258017,0.001082570874132216,4
ai_mimicked,away,16,ingham,-0.001715173595584929,0.0009924977784976363,3
ai_mimicked,away,17,suppress,-0.001661572139710188,0.0004975615302100778,3
ai_mimicked,away,18,ir,-0.0016344869509339333,0.00026828263071365654,3
ai_mimicked,away,19,woven,-0.0016327779740095139,0.00035260707954876125,3
ai_mimicked,away,20,chilling,-0.0015986316138878465,0.000257249572314322,5
ai_mimicked,away,21,iti,-0.001588155864737928,9.67471714830026e-05,3
ai_mimicked,away,22,disadvantage,-0.0015879240818321705,0.0009920307202264667,3
ai_mimicked,away,23,price,-0.0015667615225538611,0.001352863502688706,3
ai_mimicked,away,24,threads,-0.0015275493497028947,0.001914424472488463,3
ai_mimicked,away,25,curt,-0.0014996776590123773,0.00023617601254954934,3
ai_mimicked,away,26,human,-0.001495149452239275,0.0018668235279619694,9
ai_mimicked,away,27,tales,-0.0014950945042073727,0.0004038638435304165,4
ai_mimicked,away,28,ultimately,-0.0014902694383636117,0.0012192177819088101,3
ai_mimicked,away,29,fabric,-0.00146194314584136,0.0009674482862465084,4
ai_mimicked,away,30,women,-0.0014567621983587742,0.0026548628229647875,3
