word,class,count,mean_attribution,std_attribution,median_attribution,total_attribution
domestic,human,4,0.00021141837,0.00048464938,0.00030171697,0.0008456735
or,human,114,-0.0015163707,0.0013780594,-0.0016183705,-0.17286626
saw,human,44,0.0007869312,0.0013287988,0.00090026105,0.03462497
go,human,28,0.00021773261,0.00071010424,0.00020335896,0.006096513
away,human,30,0.001060677,0.00096126465,0.0010699946,0.03182031
evening,human,21,0.00036149548,0.001147835,0.00031870155,0.007591405
husband,human,11,0.0002178634,0.002921479,0.00060373696,0.0023964974
carriage,human,18,-0.0008212312,0.0026216079,-0.00036695626,-0.014782162
own,human,59,0.0001859642,0.0007063443,3.782619e-05,0.010971888
were,human,156,-0.00062338694,0.0010549547,-0.00062093214,-0.09724836
woman,human,23,-0.00011026497,0.0020930115,0.0004205142,-0.0025360943
fortune,human,11,-0.0010111231,0.0017139745,-0.00045303005,-0.011122353
leave,human,16,-0.00050657365,0.0017098463,-6.349151e-05,-0.008105178
ity,human,27,-0.0002064727,0.00058913254,-9.689617e-05,-0.005574763
take,human,16,0.00044359989,0.00072943274,0.000494562,0.007097598
its,human,45,-0.0015122463,0.0018767898,-0.0008684592,-0.068051085
chance,human,5,-1.531702e-05,0.0006491555,9.383855e-05,-7.65851e-05
not,human,291,-0.00075637555,0.00095144025,-0.0006467806,-0.22010529
quarrel,human,4,-0.00040537847,0.0011003959,1.9005398e-05,-0.0016215139
with,human,305,0.00032242056,0.0009767086,0.0003359901,0.09833827
you,human,132,0.00019748797,0.002204858,0.000636742,0.026068412
any,human,95,-0.00075701054,0.00076655217,-0.000762741,-0.071916
manner,human,22,-0.0002414215,0.00074543344,-0.00019243648,-0.005311273
your,human,42,-0.001134429,0.0030332804,-0.0001441916,-0.04764602
equal,human,8,-4.0714993e-05,0.00085840066,-0.00013013795,-0.00032571994
but,human,235,0.00022702757,0.0011068619,0.00021192798,0.05335148
consider,human,3,-0.00016832074,0.00040420046,5.2025876e-05,-0.0005049622
how,human,53,0.00012021429,0.0012650649,0.00020339974,0.0063713575
far,human,27,-0.000319233,0.0005719331,-0.000280822,-0.008619291
this,human,103,0.00013340104,0.0010503822,0.00019376607,0.013740308
is,human,89,5.8134134e-05,0.00092458096,0.00013399223,0.005173938
case,human,8,0.0010492879,0.0015333208,0.0010270627,0.008394303
has,human,34,4.545084e-05,0.0013832354,5.134407e-06,0.0015453286
if,human,97,0.00016802225,0.00097338046,8.9050794e-05,0.016298158
live,human,5,0.0005941269,0.0014784224,0.0010520885,0.0029706343
old,human,28,-0.00023015142,0.0009241846,-0.00022583752,-0.0064442395
age,human,9,-0.00026768743,0.0023855416,-0.00014082146,-0.002409187
must,human,107,0.00031560415,0.0011381833,0.00047153197,0.033769645
probably,human,4,-0.0016311342,0.0010559788,-0.0012916541,-0.0065245368
should,human,90,-0.0002755821,0.00082022615,-0.00014010127,-0.024802389
secure,human,7,0.0009772966,0.00036745396,0.001008185,0.0068410765
compassion,human,5,-0.0005577585,0.0014380583,-0.0011856409,-0.0027887924
it,human,461,0.00030781736,0.0009898308,0.0004142184,0.1419038
done,human,29,0.0003121657,0.0013305472,0.00050804444,0.009052806
indeed,human,13,-0.0008599972,0.0015753816,-0.0005086471,-0.011179963
whom,human,32,-0.0004006578,0.0015314206,-0.00044892274,-0.012821049
had,human,409,-0.00013461457,0.0008725592,-0.00014314607,-0.05505736
known,human,14,-0.00036845152,0.00042005637,-0.00052002666,-0.0051583215
an,human,101,0.0005782002,0.0010767505,0.0005279204,0.05839822
seen,human,19,0.00014073693,0.00066220574,0.00015908631,0.0026740015
up,human,66,0.0008302307,0.00075014395,0.00094529346,0.054795228
period,human,8,-0.0007667474,0.0007077997,-0.0006312888,-0.006133979
notice,human,7,-0.0004459402,0.0010515915,-0.00032650435,-0.0031215814
honour,human,6,0.00050579984,0.0012701096,0.00044091174,0.0030347991
have,human,191,0.00032164773,0.0007691708,0.0003208004,0.061434716
now,human,64,-0.00030640906,0.0015050002,-0.00017572903,-0.01961018
thought,human,50,-0.00031206908,0.0009515313,-0.0002012999,-0.015603455
less,human,33,-0.00030398872,0.00044855324,-0.00033185957,-0.0100316275
spirits,human,18,-0.0009797392,0.0019799722,-0.0007730888,-0.017635306
pride,human,7,0.0013349075,0.001185816,0.0013161593,0.009344352
moment,human,30,0.00053439295,0.0010669316,0.0005527815,0.016031789
laugh,human,4,-0.00094209815,0.00045692248,-0.00079513446,-0.0037683926
humble,human,5,0.0001136765,0.0003496652,7.612142e-05,0.0005683825
before,human,72,0.000818753,0.0011255197,0.00071279134,0.058950216
niece,human,3,0.00037974422,4.398981e-05,0.00038756503,0.0011392327
too,human,43,-0.00052057166,0.0009978638,-0.00029563293,-0.022384582
others,human,18,0.00025144173,0.0009397087,0.00015855387,0.004525951
many,human,33,-0.00012340015,0.0010857305,-2.36278e-05,-0.004072205
certainly,human,7,-0.0004936325,0.00058766047,-0.0003122657,-0.0034554277
some,human,69,-0.00059373863,0.00076732005,-0.00063823233,-0.040967967
be,human,328,0.00020409249,0.00078963,0.0002420239,0.066942334
entirely,human,8,0.00023141618,0.0005612561,0.0002668579,0.0018513295
after,human,53,4.820591e-05,0.0010534897,4.9531416e-05,0.0025549133
entrance,human,5,0.0013640996,0.0010080548,0.0011908012,0.0068204976
colonel,human,15,0.00094335404,0.002109895,0.0014336711,0.01415031
brandon,human,6,0.0016362244,0.0005488091,0.0017197555,0.009817347
