class,direction,rank,word,mean_attribution,std_attribution,count
ai_neutral,toward,28,require,0.002070978982374072,0.0009463795577175915,3
ai_neutral,toward,29,ess,0.0020663668401539326,0.000595766759943217,4
ai_neutral,toward,30,ble,0.0020033803302794695,0.000522298738360405,3
ai_neutral,away,1,economic,-0.0027346687857061625,0.0011166611220687628,8
ai_neutral,away,2,wealth,-0.0022344777826219797,0.0013258986873552203,3
ai_neutral,away,3,cycles,-0.0020331430714577436,0.0014728147070854902,3
ai_neutral,away,4,roles,-0.0019755354151129723,0.0005327798426151276,9
ai_neutral,away,5,community,-0.0019163032993674278,0.0014422774547711015,3
ai_neutral,away,6,everyone,-0.0016721122665330768,0.0004740419390145689,3
ai_neutral,away,7,mortality,-0.0015223936643451452,0.0011483787093311548,5
ai_neutral,away,8,beliefs,-0.001519287470728159,0.00088361935922876,9
ai_neutral,away,9,legal,-0.0015005850000306964,0.0008452088804915547,4
ai_neutral,away,10,differences,-0.001426855567842722,0.00048789751599542797,5
ai_neutral,away,11,notion,-0.0014126752503216267,0.0006106753717176616,4
ai_neutral,away,12,ignores,-0.0014060466783121228,0.0006213539163582027,3
ai_neutral,away,13,political,-0.0013868018286302686,0.0020220777951180935,9
ai_neutral,away,14,independence,-0.0013785011833533645,0.0008570093777962029,3
ai_neutral,away,15,trend,-0.001357640023343265,0.0012027432676404715,4
ai_neutral,away,16,childhood,-0.0013370373053476214,0.0012976003345102072,11
ai_neutral,away,17,value,-0.001292509725317359,0.0013742271112278104,5
ai_neutral,away,18,societal,-0.0012659096391871572,0.001271533197723329,13
ai_neutral,away,19,modern,-0.00124923640396446,0.0010881233029067516,11
ai_neutral,away,20,social,-0.0012080844026058912,0.0010298434644937515,48
ai_neutral,away,21,personal,-0.0011720574693754315,0.0007660627015866339,14
ai_neutral,away,22,fulfilling,-0.0011034455383196473,0.00021758273942396045,3
ai_neutral,away,23,identity,-0.0010225583100691438,0.0010908031836152077,15
ai_neutral,away,24,widespread,-0.0010132371680811048,5.099212285131216e-05,3
ai_neutral,away,25,its,-0.0010047921678051353,0.0021185821387916803,17
ai_neutral,away,26,ties,-0.0009974166750907898,0.0013371543027460575,4
ai_neutral,away,27,norms,-0.0009915923001244664,0.0009593931608833373,7
ai_neutral,away,28,rhetoric,-0.0009769626194611192,0.0008817746420390904,4
ai_neutral,away,29,expectations,-0.0009719873778522015,0.00047842442290857434,16
ai_neutral,away,30,decision,-0.0009410454658791423,0.00040002676541917026,5
ai_mimicked,toward,1,thames,0.009370324201881886,0.002362456638365984,3
ai_mimicked,toward,2,timothy,0.006880142260342836,0.005418695043772459,6
ai_mimicked,toward,3,street,0.006747202482074499,0.0018448488553985953,5
