word,class,count,mean_attribution,std_attribution,median_attribution,total_attribution
acknowledge,ai_mimicked,3,0.00031558253,0.0005532939,0.00054932956,0.0009467476
witness,ai_mimicked,3,0.0020040802,0.00024045976,0.0020842324,0.006012241
tee,ai_mimicked,3,-0.00034869602,0.00066018995,-0.0004944906,-0.0010460881
our,ai_mimicked,14,0.0015200864,0.0014922626,0.0010869722,0.02128121
nation,ai_mimicked,4,-0.003035949,0.0012947187,-0.0034340986,-0.012143796
mankind,ai_mimicked,3,-0.0008542941,0.0011539626,-0.00049294194,-0.0025628824
reveals,ai_mimicked,3,0.0016414219,0.00057460007,0.0015268999,0.0049242657
education,ai_mimicked,5,0.0014625095,0.0008345813,0.0015221783,0.0073125474
foster,ai_mimicked,7,0.00098818,0.0006448308,0.00088822463,0.0069172606
thought,ai_mimicked,6,-0.0006056332,0.0012127386,-0.0005819961,-0.0036337993
obedience,ai_mimicked,3,0.00097316416,0.00040877654,0.0012126392,0.0029194925
station,ai_mimicked,3,0.002666828,0.0020375513,0.0023366523,0.008000484
tem,ai_mimicked,3,0.00078423554,0.00032291125,0.00078252645,0.0023527066
reinforce,ai_mimicked,3,0.0010167597,0.00054516393,0.000772784,0.0030502789
duties,ai_mimicked,3,4.7113583e-05,0.0003157391,0.00010618437,0.00014134074
control,ai_mimicked,5,0.0011329661,0.0011394063,0.0015427193,0.0056648306
means,ai_mimicked,6,0.0002458189,0.0005241428,0.00021345858,0.0014749133
whispered,ai_mimicked,4,0.00088028086,0.0005772814,0.0010614058,0.0035211234
appear,ai_mimicked,3,0.0012756953,0.0011351707,0.0004899728,0.003827086
ri,ai_mimicked,4,0.00076589966,0.0002849159,0.00066967605,0.0030635986
ving,ai_mimicked,4,0.0016013192,0.00083624595,0.001806053,0.0064052767
declares,ai_mimicked,3,6.0147122e-05,0.00058070885,-0.00022650982,0.00018044136
illusion,ai_mimicked,3,0.001940227,0.00052366947,0.0020235316,0.005820681
dance,ai_mimicked,3,0.00073891395,0.0002178335,0.0005975614,0.002216742
played,ai_mimicked,4,-0.00015219476,0.0015482614,6.242214e-05,-0.000608779
out,ai_mimicked,4,0.0011136846,0.00066367077,0.0010612014,0.0044547385
rooms,ai_mimicked,3,0.0013063997,0.0009054343,0.0018503636,0.003919199
reputation,ai_mimicked,5,0.001267715,0.0002826593,0.0012486324,0.006338575
placed,ai_mimicked,7,-8.328974e-05,0.00078469777,0.00019198976,-0.0005830282
display,ai_mimicked,3,0.00222176,0.00081127795,0.0025163959,0.00666528
essence,ai_mimicked,3,0.0012817782,0.0013286845,0.000559268,0.0038453348
stage,ai_mimicked,4,-0.0003284987,0.00097650255,-0.00024891144,-0.0013139948
ala,ai_mimicked,3,0.00084383617,0.0010232263,0.0005809348,0.0025315084
drama,ai_mimicked,3,0.0002611611,0.00038681662,0.00017649433,0.0007834833
ti,ai_mimicked,5,0.002422052,0.002123499,0.0030716336,0.012110259
surrounding,ai_mimicked,4,0.00059408357,0.000767879,0.00043864176,0.0023763343
res,ai_mimicked,3,0.0008151993,0.0002925376,0.0008323137,0.002445598
ence,ai_mimicked,4,0.00041861413,0.00034154762,0.00036401412,0.0016744565
promise,ai_mimicked,4,0.00040553501,0.00082146603,0.0007615771,0.0016221401
extinguished,ai_mimicked,3,0.0007699018,0.0005566104,0.0009594433,0.0023097054
ive,ai_mimicked,4,0.00036110813,0.00040033108,0.00043284523,0.0014444325
dependence,ai_mimicked,3,0.0005132297,0.00083917874,0.0003536182,0.0015396891
dwell,ai_mimicked,5,0.0011348575,0.000396725,0.001090172,0.0056742877
stones,ai_mimicked,4,0.001155564,0.001132591,0.0016679477,0.004622256
unspoken,ai_mimicked,4,0.00048045826,0.00050458225,0.0004594914,0.001921833
sorrow,ai_mimicked,5,0.0014878291,0.00047465076,0.0018340925,0.007439146
greasy,ai_mimicked,3,0.00057523797,9.506631e-05,0.00053421716,0.001725714
yellow,ai_mimicked,3,0.0020948637,8.963738e-05,0.0021416312,0.006284591
clung,ai_mimicked,4,0.0016321697,0.00054965116,0.0017096142,0.006528679
mortal,ai_mimicked,3,0.00074643316,0.000120422155,0.00070273783,0.0022392995
dread,ai_mimicked,3,0.0013306645,0.0005248553,0.0010063613,0.0039919936
ponder,ai_mimicked,3,0.0013871262,0.00070107746,0.0009341048,0.0041613784
observing,ai_mimicked,4,0.00088860764,0.00043074775,0.0010544374,0.0035544306
figures,ai_mimicked,3,0.0009074356,0.0010829496,0.00026633445,0.0027223069
fl,ai_mimicked,4,0.000899275,0.0005781022,0.00058649934,0.0035971
itt,ai_mimicked,3,0.0006201448,0.00066670397,0.0009982417,0.0018604344
whether,ai_mimicked,3,0.0013167806,0.0029260127,-8.757104e-05,0.0039503416
true,ai_mimicked,9,-3.9265337e-06,0.00043519237,-3.6498765e-05,-3.5338802e-05
il,ai_mimicked,4,0.00034520627,0.0010276575,0.00039167702,0.0013808251
